entry_index,page,number,source_headword,pronunciation,variant,audio
1,1,1,sea,sea,1,p01_01_sea.mp3
2,1,2,trees,trees,1,p01_02_trees.mp3
3,1,3,hunting,hunting,1,p01_03_hunting.mp3
4,1,4,creation,creation,1,p01_04_creation.mp3
5,1,5,answer,answer,1,p01_05_answer.mp3
6,1,6,effectively,effectively,1,p01_06_effectively.mp3
7,1,7,holidays,holidays,1,p01_07_holidays.mp3
8,1,8,timetable,timetable,1,p01_08_timetable.mp3
9,1,9,voice,voice,1,p01_09_voice.mp3
10,1,10,think,think,1,p01_10_think.mp3
11,1,11,sounds,sounds,1,p01_11_sounds.mp3
12,1,12,branch,branch,1,p01_12_branch.mp3
13,1,13,west,west,1,p01_13_west.mp3
14,1,14,clothing,clothing,1,p01_14_clothing.mp3
15,1,15,ten,ten,1,p01_15_ten.mp3
16,1,16,running,running,1,p01_16_running.mp3
17,1,17,bags,bags,1,p01_17_bags.mp3
18,1,18,workbooks,workbooks,1,p01_18_workbooks.mp3
19,1,19,hearing,hearing,1,p01_19_hearing.mp3
20,1,20,theater/theatre,theater,1,p01_20a_theater.mp3
20,1,20,theater/theatre,theatre,2,p01_20b_theatre.mp3
21,1,21,plant,plant,1,p01_21_plant.mp3
22,1,22,fish,fish,1,p01_22_fish.mp3
23,1,23,bedsit,bedsit,1,p01_23_bedsit.mp3
24,1,24,healthy,healthy,1,p01_24_healthy.mp3
25,1,25,mature,mature,1,p01_25_mature.mp3
26,2,1,social,social,1,p02_01_social.mp3
27,2,2,national,national,1,p02_02_national.mp3
28,2,3,network,network,1,p02_03_network.mp3
29,2,4,March,March,1,p02_04_march.mp3
30,2,5,two,two,1,p02_05_two.mp3
31,2,6,meat,meat,1,p02_06_meat.mp3
32,2,7,group,group,1,p02_07_group.mp3
33,2,8,ears,ears,1,p02_08_ears.mp3
34,2,9,noise,noise,1,p02_09_noise.mp3
35,2,10,older,older,1,p02_10_older.mp3
36,2,11,town,town,1,p02_11_town.mp3
37,2,12,shared,shared,1,p02_12_shared.mp3
38,2,13,level,level,1,p02_13_level.mp3
39,2,14,Friday,Friday,1,p02_14_friday.mp3
40,2,15,Sunday,Sunday,1,p02_15_sunday.mp3
41,2,16,farm,farm,1,p02_16_farm.mp3
42,2,17,reading,reading,1,p02_17_reading.mp3
43,2,18,tide,tide,1,p02_18_tide.mp3
44,2,19,clear,clear,1,p02_19_clear.mp3
45,2,20,schedule,schedule,1,p02_20_schedule.mp3
46,2,21,alarm,alarm,1,p02_21_alarm.mp3
47,2,22,emails,emails,1,p02_22_emails.mp3
48,2,23,conversation,conversation,1,p02_23_conversation.mp3
49,2,24,leader,leader,1,p02_24_leader.mp3
50,2,25,risk,risk,1,p02_25_risk.mp3
51,3,1,leather,leather,1,p03_01_leather.mp3
52,3,2,restrictions,restrictions,1,p03_02_restrictions.mp3
53,3,3,England,England,1,p03_03_england.mp3
54,3,4,visitors,visitors,1,p03_04_visitors.mp3
55,3,5,top,top,1,p03_05_top.mp3
56,3,6,field,field,1,p03_06_field.mp3
57,3,7,button,button,1,p03_07_button.mp3
58,3,8,library,library,1,p03_08_library.mp3
59,3,9,review,review,1,p03_09_review.mp3
60,3,10,castle,castle,1,p03_10_castle.mp3
61,3,11,old,old,1,p03_11_old.mp3
62,3,12,department,department,1,p03_12_department.mp3
63,3,13,bottle,bottle,1,p03_13_bottle.mp3
64,3,14,select,select,1,p03_14_select.mp3
65,3,15,undersea,undersea,1,p03_15_undersea.mp3
66,3,16,quality,quality,1,p03_16_quality.mp3
67,3,17,silver,silver,1,p03_17_silver.mp3
68,3,18,effects,effects,1,p03_18_effects.mp3
69,3,19,king,king,1,p03_19_king.mp3
70,3,20,reservations,reservations,1,p03_20_reservations.mp3
71,3,21,central,central,1,p03_21_central.mp3
72,3,22,paper,paper,1,p03_22_paper.mp3
73,3,23,minute,minute,1,p03_23_minute.mp3
74,3,24,footbridge,footbridge,1,p03_24_footbridge.mp3
75,3,25,street,street,1,p03_25_street.mp3
76,4,1,seat,seat,1,p04_01_seat.mp3
77,4,2,clothes,clothes,1,p04_02_clothes.mp3
78,4,3,center/centre,center,1,p04_03a_center.mp3
78,4,3,center/centre,centre,2,p04_03b_centre.mp3
79,4,4,checklist,checklist,1,p04_04_checklist.mp3
80,4,5,robbery,robbery,1,p04_05_robbery.mp3
81,4,6,classroom,classroom,1,p04_06_classroom.mp3
82,4,7,world,world,1,p04_07_world.mp3
83,4,8,end,end,1,p04_08_end.mp3
84,4,9,great,great,1,p04_09_great.mp3
85,4,10,train,train,1,p04_10_train.mp3
86,4,11,engineer,engineer,1,p04_11_engineer.mp3
87,4,12,personal,personal,1,p04_12_personal.mp3
88,4,13,hour,hour,1,p04_13_hour.mp3
89,4,14,weeks,weeks,1,p04_14_weeks.mp3
90,4,15,sound,sound,1,p04_15_sound.mp3
91,4,16,refreshments,refreshments,1,p04_16_refreshments.mp3
92,4,17,catalog/catalogue,catalog,1,p04_17a_catalog.mp3
92,4,17,catalog/catalogue,catalogue,2,p04_17b_catalogue.mp3
93,4,18,riverside,riverside,1,p04_18_riverside.mp3
94,4,19,poor,poor,1,p04_19_poor.mp3
95,4,20,experience,experience,1,p04_20_experience.mp3
96,4,21,mother,mother,1,p04_21_mother.mp3
97,4,22,month,month,1,p04_22_month.mp3
98,4,23,internet,internet,1,p04_23_internet.mp3
99,4,24,poverty,poverty,1,p04_24_poverty.mp3
100,4,25,green,green,1,p04_25_green.mp3
101,5,1,salad,salad,1,p05_01_salad.mp3
102,5,2,roads,roads,1,p05_02_roads.mp3
103,5,3,bar,bar,1,p05_03_bar.mp3
104,5,4,conditioner,conditioner,1,p05_04_conditioner.mp3
105,5,5,containers,containers,1,p05_05_containers.mp3
106,5,6,competition,competition,1,p05_06_competition.mp3
107,5,7,business,business,1,p05_07_business.mp3
108,5,8,swimming,swimming,1,p05_08_swimming.mp3
109,5,9,hill,hill,1,p05_09_hill.mp3
110,5,10,intermediate,intermediate,1,p05_10_intermediate.mp3
111,5,11,marketing,marketing,1,p05_11_marketing.mp3
112,5,12,simple,simple,1,p05_12_simple.mp3
113,5,13,vegetarian,vegetarian,1,p05_13_vegetarian.mp3
114,5,14,laptops,laptops,1,p05_14_laptops.mp3
115,5,15,tutor,tutor,1,p05_15_tutor.mp3
116,5,16,Monday,Monday,1,p05_16_monday.mp3
117,5,17,nursery,nursery,1,p05_17_nursery.mp3
118,5,18,annual,annual,1,p05_18_annual.mp3
119,5,19,prizes,prizes,1,p05_19_prizes.mp3
120,5,20,Wednesday,Wednesday,1,p05_20_wednesday.mp3
121,5,21,assessment,assessment,1,p05_21_assessment.mp3
122,5,22,cards,cards,1,p05_22_cards.mp3
123,5,23,fees,fees,1,p05_23_fees.mp3
124,5,24,clubhouse,clubhouse,1,p05_24_clubhouse.mp3
125,5,25,supervise,supervise,1,p05_25_supervise.mp3
126,6,1,feedback,feedback,1,p06_01_feedback.mp3
127,6,2,team,team,1,p06_02_team.mp3
128,6,3,sales,sales,1,p06_03_sales.mp3
129,6,4,metal,metal,1,p06_04_metal.mp3
130,6,5,interest,interest,1,p06_05_interest.mp3
131,6,6,keep-fit,keep-fit,1,p06_06_keep-fit.mp3
132,6,7,training,training,1,p06_07_training.mp3
133,6,8,rate,rate,1,p06_08_rate.mp3
134,6,9,feed,feed,1,p06_09_feed.mp3
135,6,10,yoga,yoga,1,p06_10_yoga.mp3
136,6,11,soil,soil,1,p06_11_soil.mp3
137,6,12,send,send,1,p06_12_send.mp3
138,6,13,newsletters,newsletters,1,p06_13_newsletters.mp3
139,6,14,October,October,1,p06_14_october.mp3
140,6,15,in advance,in advance,1,p06_15_in-advance.mp3
141,6,16,nest,nest,1,p06_16_nest.mp3
142,6,17,pencils,pencils,1,p06_17_pencils.mp3
143,6,18,writing,writing,1,p06_18_writing.mp3
144,6,19,afternoon,afternoon,1,p06_19_afternoon.mp3
145,6,20,printers,printers,1,p06_20_printers.mp3
146,6,21,report,report,1,p06_21_report.mp3
147,6,22,north,north,1,p06_22_north.mp3
148,6,23,picnic,picnic,1,p06_23_picnic.mp3
149,6,24,guest,guest,1,p06_24_guest.mp3
150,6,25,booking,booking,1,p06_25_booking.mp3
151,7,1,heavy,heavy,1,p07_01_heavy.mp3
152,7,2,tools,tools,1,p07_02_tools.mp3
153,7,3,spring,spring,1,p07_03_spring.mp3
154,7,4,Olympics,Olympics,1,p07_04_olympics.mp3
155,7,5,clubs,clubs,1,p07_05_clubs.mp3
156,7,6,physics,physics,1,p07_06_physics.mp3
157,7,7,sea,sea,1,p07_07_sea.mp3
158,7,8,diversity,diversity,1,p07_08_diversity.mp3
159,7,9,airport,airport,1,p07_09_airport.mp3
160,7,10,clarinet,clarinet,1,p07_10_clarinet.mp3
161,7,11,pool,pool,1,p07_11_pool.mp3
162,7,12,disturbing,disturbing,1,p07_12_disturbing.mp3
163,7,13,WiFi,WiFi,1,p07_13_wifi.mp3
164,7,14,opera,opera,1,p07_14_opera.mp3
165,7,15,exhibition,exhibition,1,p07_15_exhibition.mp3
166,7,16,energy,energy,1,p07_16_energy.mp3
167,7,17,microphone,microphone,1,p07_17_microphone.mp3
