entry_index,page,number,source_headword,pronunciation,variant,audio
1,1,1,laundry,laundry,1,p01_01_laundry.mp3
2,1,2,fresh,fresh,1,p01_02_fresh.mp3
3,1,3,frozen,frozen,1,p01_03_frozen.mp3
4,1,4,freezer,freezer,1,p01_04_freezer.mp3
5,1,5,hunger,hunger,1,p01_05_hunger.mp3
6,1,6,starvation,starvation,1,p01_06_starvation.mp3
7,1,7,nutrition,nutrition,1,p01_07_nutrition.mp3
8,1,8,takeaway,takeaway,1,p01_08_takeaway.mp3
9,1,9,steep,steep,1,p01_09_steep.mp3
10,1,10,scent,scent,1,p01_10_scent.mp3
11,1,11,odour,odour,1,p01_11_odour.mp3
12,1,12,ingredients,ingredients,1,p01_12_ingredients.mp3
13,1,13,olive oil,olive oil,1,p01_13_olive-oil.mp3
14,1,14,sailor,sailor,1,p01_14_sailor.mp3
15,1,15,sweetener,sweetener,1,p01_15_sweetener.mp3
16,1,16,cookery,cookery,1,p01_16_cookery.mp3
17,1,17,rack,rack,1,p01_17_rack.mp3
18,1,18,lids,lids,1,p01_18_lids.mp3
19,1,19,overfill,overfill,1,p01_19_overfill.mp3
20,1,20,tanks,tanks,1,p01_20_tanks.mp3
21,1,21,bucket,bucket,1,p01_21_bucket.mp3
22,1,22,boiler,boiler,1,p01_22_boiler.mp3
23,1,23,failure,failure,1,p01_23_failure.mp3
24,1,24,waves,waves,1,p01_24_waves.mp3
25,1,25,sodium,sodium,1,p01_25_sodium.mp3
26,2,1,axe,axe,1,p02_01_axe.mp3
27,2,2,stick,stick,1,p02_02_stick.mp3
28,2,3,brushes,brushes,1,p02_03_brushes.mp3
29,2,4,double-grill,double-grill,1,p02_04_double-grill.mp3
30,2,5,fireplaces,fireplaces,1,p02_05_fireplaces.mp3
31,2,6,fireworks,fireworks,1,p02_06_fireworks.mp3
32,2,7,fire drill,fire drill,1,p02_07_fire-drill.mp3
33,2,8,smash,smash,1,p02_08_smash.mp3
34,2,9,starch,starch,1,p02_09_starch.mp3
35,2,10,grind flour,grind flour,1,p02_10_grind-flour.mp3
36,2,11,powder,powder,1,p02_11_powder.mp3
37,2,12,barcode = bar code,barcode,1,p02_12a_barcode.mp3
37,2,12,barcode = bar code,bar code,2,p02_12b_bar-code.mp3
38,2,13,senior,senior,1,p02_13_senior.mp3
39,2,14,cooling,cooling,1,p02_14_cooling.mp3
40,2,15,authors,authors,1,p02_15_authors.mp3
41,2,16,Spain,Spain,1,p02_16_spain.mp3
42,2,17,public,public,1,p02_17_public.mp3
43,2,18,remove,remove,1,p02_18_remove.mp3
44,2,19,ink,ink,1,p02_19_ink.mp3
45,2,20,introduction,introduction,1,p02_20_introduction.mp3
46,2,21,active,active,1,p02_21_active.mp3
47,2,22,skin,skin,1,p02_22_skin.mp3
48,2,23,blueberries,blueberries,1,p02_23_blueberries.mp3
