entry_index,page,number,source_headword,pronunciation,speech_text,variant,audio
1,1,1,taste/flavour/flavor,taste,taste,1,p01_01a_taste.mp3
1,1,1,taste/flavour/flavor,flavour,flavour,2,p01_01b_flavour.mp3
1,1,1,taste/flavour/flavor,flavor,flavor,3,p01_01c_flavor.mp3
2,1,2,Spelling,Spelling,Spelling,1,p01_02_spelling.mp3
3,1,3,feeding,feeding,feeding,1,p01_03_feeding.mp3
4,1,4,parents,parents,parents,1,p01_04_parents.mp3
5,1,5,band,band,band,1,p01_05_band.mp3
6,1,6,bicycle,bicycle,bicycle,1,p01_06_bicycle.mp3
7,1,7,Pioneer,Pioneer,Pioneer,1,p01_07_pioneer.mp3
8,1,8,medicine,medicine,medicine,1,p01_08_medicine.mp3
9,1,9,income/company’s income,income,income,1,p01_09a_income.mp3
9,1,9,income/company’s income,company’s income,company’s income,2,p01_09b_company-s-income.mp3
10,1,10,Influence,Influence,Influence,1,p01_10_influence.mp3
11,1,11,cleaning,cleaning,cleaning,1,p01_11_cleaning.mp3
12,1,12,Post Office,Post Office,Post Office,1,p01_12_post-office.mp3
13,1,13,Next Tuesday,Next Tuesday,Next Tuesday,1,p01_13_next-tuesday.mp3
14,1,14,mangoes,mangoes,mangoes,1,p01_14_mangoes.mp3
15,1,15,Storm,Storm,Storm,1,p01_15_storm.mp3
16,1,16,octopuses,octopuses,octopuses,1,p01_16_octopuses.mp3
17,1,17,Musical,Musical,Musical,1,p01_17_musical.mp3
18,1,18,Garden/Cretan Garden,Garden,Garden,1,p01_18a_garden.mp3
18,1,18,Garden/Cretan Garden,Cretan Garden,Cretan Garden,2,p01_18b_cretan-garden.mp3
19,1,19,writers,writers,writers,1,p01_19_writers.mp3
20,1,20,Graphs,Graphs,Graphs,1,p01_20_graphs.mp3
21,1,21,translation,translation,translation,1,p01_21_translation.mp3
22,1,22,child seat,child seat,child seat,1,p01_22_child-seat.mp3
23,1,23,flood,flood,flood,1,p01_23_flood.mp3
24,1,24,camels,camels,camels,1,p01_24_camels.mp3
25,1,25,employee first,employee first,employee first,1,p01_25_employee-first.mp3
26,2,1,sail,sail,sail,1,p02_01_sail.mp3
27,2,2,lifestyle,lifestyle,lifestyle,1,p02_02_lifestyle.mp3
28,2,3,middle class,middle class,middle class,1,p02_03_middle-class.mp3
29,2,4,breed,breed,breed,1,p02_04_breed.mp3
30,2,5,lock,lock,lock,1,p02_05_lock.mp3
31,2,6,driver,driver,driver,1,p02_06_driver.mp3
32,2,7,age,age,age,1,p02_07_age.mp3
33,2,8,ban,ban,ban,1,p02_08_ban.mp3
34,2,9,streams,streams,streams,1,p02_09_streams.mp3
